movie_title,bag_of_words
The Pirates! Band of Misfits ,adventure animation comedy family charles darwin cutlass pirate queen victoria scientist  
Changeling ,crime drama mystery thriller execution by hanging los angeles police department miscarriage of justice missing child wrongful conviction  
Chain Reaction ,action drama sci-fi thriller cold fusion die hard scenario man with glasses on the run outrunning explosion  
The Fan ,action drama sport thriller baseball fan obsession salesman san francisco giants  
The Phantom of the Opera ,drama musical romance thriller based on stage musical based on novel disfigurement mask opera singer  
Elizabeth: The Golden Age ,biography drama history war court intrigue queen spain virgin  
Æon Flux ,action sci-fi based on cult favorite disease female hero female protagonist future  
Gods and Generals ,drama history war confederacy hero prequel stonewall jackson war hero  
Turbulence ,action thriller airplane christmas marshal pilot u.s. marshal  
Imagine That ,comedy drama family fantasy blanket competition family relationships feather sleepover  
Muppets Most Wanted ,adventure comedy crime family musical europe frog gulag prison break puppet  
Thunderbirds ,action adventure comedy family sci-fi astronaut island lady penelope rescue the hood  
Burlesque ,drama music musical romance burlesque dancer iowa small town girl stage  
A Very Long Engagement ,drama mystery romance war court martial death girl no man's land soldier  
Lolita ,crime drama romance lolita nymphet older man young girl relationship professor writer  
Eye See You ,crime horror mystery thriller drill in the eye eye gouging hanged woman murder peep hole  
Blade II ,action horror sci-fi thriller blade the character cult film mutation vampire warrior  
Seven Pounds ,drama romance boyfriend girlfriend relationship heart main character dies organ donor redemption  
Bullet to the Head ,action thriller bar bullet corruption detective lawyer  
The Godfather: Part III ,crime drama 1970s family relationships mob hit opera repeating history  
Elizabethtown ,comedy drama romance flight flight attendant kentucky shoes travel  
"You, Me and Dupree ",comedy romance best friend foot fetish houseguest newlywed wedding  
Superman II ,action adventure romance sci-fi alien invasion based on comic book flying superhero phantom zone revenge  
Gigli ,comedy crime romance gangster hospital lesbian mob thug  
All the King's Men ,drama thriller governor journalist louisiana mistress politician  
Shaft ,action crime thriller blaxploitation detective drugs shaft trial  
Anastasia ,adventure animation drama family fantasy musical mystery romance amnesia reference to anastasia romanov romanov russia russian revolution  
Moulin Rouge! ,drama musical romance death of main character eiffel tower paris jealousy tragedy two suitors  
Domestic Disturbance ,crime mystery thriller amateur detective boat builder boy stepfather witness  
Black Mass ,biography crime drama based on true story boston massachusetts fbi agent gangster true crime  
Flags of Our Fathers ,drama history war imperial japan japan japanese army japanese soldier world war two  
Law Abiding Citizen ,crime drama thriller attorney deal district attorney investigation justice  
Grindhouse ,action horror thriller anthropophagus blood and gore double feature real twins playing twins zombie  
Beloved ,drama history horror farm freedom ohio slavery spirit  
Lucky You ,drama romance sport losing poker poker player reference to frederic chopin reference to johannes brahms  
Catch Me If You Can ,biography crime drama attorney cat and mouse fbi pan am pilot  
Zero Dark Thirty ,drama history thriller al qaeda cia interrogation lie navy seal  
The Break-Up ,comedy drama romance art break up football video game kitchen talking to one's self in a mirror  
Mamma Mia! ,comedy family musical romance bride greece island mediterranean wedding  
Valentine's Day ,comedy romance flower indian restaurant tv station valentine valentine's day  
The Dukes of Hazzard ,action adventure comedy 1969 dodge charger bikini farm misogynist tow truck  
The Thin Red Line ,drama war battle hill jungle multiple perspectives tropical island  
The Change-Up ,comedy fantasy best friend fountain law firm lawyer sex  
Man on the Moon ,biography comedy drama andy kaufman comedian eccentric wrestler wrestling  
Casino ,biography crime drama car bomb card cheat cash casino gambling syndicate  
From Paris with Love ,action thriller ambassador cia dinner spy terrorist  
Bulletproof Monk ,action comedy fantasy monastery monk scroll tibetan tibetan monk  
"Me, Myself & Irene ",comedy dissociative identity disorder limousine multiple personality police rhode island  
Barnyard ,animation comedy family cow farmer howl howling at the moon vegetarian  
Deck the Halls ,comedy family christmas december holiday massachusetts neighbor  
The Twilight Saga: New Moon ,adventure drama fantasy romance forks washington protecting a woman title same as book vampire werewolf  
Shrek ,adventure animation comedy family fantasy donkey fairy tale ogre princess swamp  
The Adjustment Bureau ,romance sci-fi thriller love at first sight obscene finger gesture rain teleportation three word title  
Robin Hood: Prince of Thieves ,action adventure drama romance balladeer crusades england king modern minstrel  
Jerry Maguire ,comedy drama romance sport agent career client fiance sports agent  
Ted ,comedy fantasy 2010s car accident sex scene teddy bear testicle  
As Good as It Gets ,comedy drama romance dog friendship neighbor unlikely friendship writer  
Patch Adams ,biography comedy drama romance doctor hospital mental institution nurse student  
Anchorman 2: The Legend Continues ,comedy fame father son relationship interracial kiss interracial relationship interracial sex  
Mr. Deeds ,comedy romance abbreviation in title reporter small town sudden wealth unknowing heir  
Super 8 ,mystery sci-fi thriller deputy group of friends time train train crash  
Erin Brockovich ,biography drama contamination corporate crime environmental issue female protagonist working single mother  
How to Lose a Guy in 10 Days ,comedy romance advertising executive diamond magazine party wager  
22 Jump Street ,action comedy crime college drugs hidden camera tattoo undercover  
Interview with the Vampire: The Vampire Chronicles ,drama fantasy horror betrayal dangerous friend gothic monster as victim vampire  
Yes Man ,comedy romance best friend dvd girlfriend loan self help  
Central Intelligence ,action comedy crime accountant blooper espionage facebook high school reunion  
Stepmom ,comedy drama attorney cancer custody fashion photographer photographer  
Daddy's Home ,comedy family biological father dad drinking product placement wilhelm scream  
Into the Woods ,adventure comedy drama fantasy musical based on stage musical cinderella little red riding hood singing witch  
Inside Man ,crime drama mystery thriller bank detective negotiation police robber  
Payback ,action crime drama thriller anti hero criminal greed prostitute tough guy  
Congo ,action adventure mystery sci-fi captain congo expedition laser lost city  
We Bought a Zoo ,comedy drama family blocked road father son relationship love at first sight teenage boy zookeeper  
Knowing ,drama mystery sci-fi thriller disaster end of the world number student time capsule  
Failure to Launch ,comedy romance friend intervention moving secret slacker  
The Ring Two ,horror mystery cartoon on tv foreign language adaptation second part videotape writer  
"Crazy, Stupid, Love. ",comedy drama romance bar divorce friend girl male objectification  
Garfield ,animation comedy family fantasy cat dog first part lasagna veterinarian  
